Fleet Race,,298,,,,,,,,,,,,,
Rk,TEAM,SINCE,APP,WIN,AVG,TOP3,TOP3%,TOP5,TOP5%,STREAK,DNS,DNF,DSQ,,
1,AUS,S1,289,80,27.7%,167,57.8%,215,74.4%,4,2,3,0,,
2,JPN,S1,57,20,35.1%,41,71.9%,48,84.2%,3 (2),2,1,0,,
3,GBR,S1,284,37,13.0%,116,40.8%,185,65.1%,2 (4),8,0,1,,
4,FRA,S1,265,21,7.9%,83,31.3%,146,55.1%,4,24,2,0,,
5,CHI,S1,25,1,4.0%,10,40.0%,18,72.0%,-,0,0,0,,
6,USA,S1,277,18,6.5%,70,25.3%,131,47.3%,2,15,2,0,,
7,NZL,S2,228,34,14.9%,96,42.1%,159,69.7%,5,39,1,0,,
8,ESP,S2,250,24,9.6%,74,29.6%,132,52.8%,2 (2),17,2,1,,
9,DEN,S2,254,18,7.1%,75,29.5%,131,51.6%,2 (3),13,2,0,,
10,CAN,S3,225,18,8.0%,67,29.8%,122,54.2%,3,2,1,0,,
11,SUI,S3,219,11,5.0%,29,13.2%,63,28.8%,-,8,1,0,,
12,GER,S4,170,7,4.1%,27,15.9%,56,32.9%,-,5,0,0,,
13,ITA,S5,115,2,1.7%,18,15.7%,33,28.7%,-,0,1,0,,
14,BRA,S5,105,2,1.9%,6,5.7%,24,22.9%,-,10,2,0,,
15,SWE,S6,35,5,14.3%,13,37.1%,22,62.9%,2,4,0,0,,
,,,,,,,,* Figures in parentheses indicate the number of times the streak was achieved.,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Fleet Race Finishes by Position  ※Excluding DNS, DNF and DSQ",,,,,,,,,,,,,,,
Rk,TEAM,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,
1,AUS,80,49,38,22,26,19,11,20,9,9,3,0,0,
2,JPN,20,13,8,3,4,3,4,1,0,0,0,0,0,
3,GBR,37,44,35,33,36,34,24,15,8,7,8,2,0,
4,FRA,21,29,33,36,27,38,20,25,22,6,5,1,0,
5,CHI,1,4,5,2,6,7,0,0,0,0,0,0,0,
6,USA,18,16,36,32,29,24,29,22,28,23,8,10,0,
7,NZL,34,35,27,31,32,23,12,19,3,4,7,0,0,
8,ESP,24,22,28,33,25,25,27,27,23,6,4,3,0,
9,DEN,18,27,30,32,24,39,27,24,11,12,6,2,0,
10,CAN,18,26,23,23,32,17,22,18,17,11,12,4,1,
11,SUI,11,11,7,15,19,27,32,28,29,26,11,2,0,
12,GER,7,8,12,11,18,12,24,21,29,12,10,5,1,
13,ITA,2,6,10,9,6,12,13,11,14,17,7,7,0,
14,BRA,2,2,2,8,10,7,12,10,13,14,17,6,0,
15,SWE,5,5,3,6,3,2,2,2,4,1,2,0,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fleet Race Last Win (Race Ago),,,,,,,,,,,,,,,
Rk,TEAM,SEASON / EVENT / RACE,,,,,,,,,,,,,
1,AUS,S6 E7 HALIFAX R4A,,,,,,,,,,,,,
2,JPN,S2 E8 SAN FRANCISCO R3 (2 AGO),,,,,,,,,,,,,
3,GBR,S6 E6 NEW YORK R1 (6 AGO),,,,,,,,,,,,,
4,FRA,S6 E1 PERTH R2 (36 AGO),,,,,,,,,,,,,
5,CHI,S1 E5 MARSEILLE R5 (2 AGO),,,,,,,,,,,,,
6,USA,S6 E7 HALIFAX R4B,,,,,,,,,,,,,
7,NZL,S6 E2 AUCKLAND R2 (30 AGO),,,,,,,,,,,,,
8,ESP,S6 E7 HALIFAX R3A (1 AGO),,,,,,,,,,,,,
9,DEN,S6 E3 SYDNEY R7 (21 AGO),,,,,,,,,,,,,
10,CAN,S6 E6 NEW YORK R3 (4 AGO),,,,,,,,,,,,,
11,SUI,S6 E7 HALIFAX R1B (3 AGO),,,,,,,,,,,,,
12,GER,S6 E5 BERMUDA R7 (7 AGO),,,,,,,,,,,,,
13,ITA,S6 E4 RIO DE JANEIRO R3 (18 AGO),,,,,,,,,,,,,
14,BRA,S5 E11 CADIZ R7 (45 AGO),,,,,,,,,,,,,
15,SWE,S6 E7 HALIFAX R3B (1 AGO),,,,,,,,,,,,,
